MakeNHL,Name,P/G,RelPM,Import,Ht,TeamStr,TOI,2ndAss%,G:A,Overage?,Weight,AgeInMonths,TeamForwardPointRank,Top5Team,Top10Team,IPP,PercentTO,TotalQOC,TotalQOT,OIGwTop,TopPlayer,GFDifferential,PPGRelativeToLead,DraftYear
0,Evan Bloodoff,0.307674552,-0.139022436,0,71,0.606498195,0.190369655,0.047619048,0.571428571,0,190,226,11,1,1,0.72,0.107142857,0.3156102,0.3089726,0.043478261,0,-0.154786325,0.201992442,2009
1,Branko Radivojevic,0.737969452,0.060760443,1,72,0.620320856,0.280276817,0.24137931,0.344827586,0,186,226,8,0,0,0.693548387,0.185344828,0.316586757,0.3530025,0.017857143,0,0.008080808,0.584079284,1999
0,Matt Halischuk,0.895342918,0.022585993,0,71,0.619834711,0.337486123,0.227272727,0.5,1,177,231,3,0,0,0.673913043,0.206666667,0.318002782,0.318309864,0.614035088,0,-0.021242866,0.507462687,2007
0,Nate Thompson,0.554792729,-0.020344288,0,73,0.600600601,0.251661498,0.382352941,0.294117647,0,195,227,8,1,1,0.710526316,0.135,0.262947735,0.283065217,0,0,-0.083109343,0.355772585,2003
0,Tom Pyatt,0.91849665,0.192951128,0,71,0.36996337,0.37015616,0.375,0.375,0,181,223,2,0,0,0.707317073,0.287128713,0.281638524,0.300032356,0.868421053,0,0.201619171,0.719864177,2005
0,Oak Hewer,0.269012578,-0.13688172,0,76,0.417475728,0.281866583,0.052631579,0.421052632,0,190,228,11,0,0,0.52173913,0.093023256,0.075971375,0.040453071,0.038461538,0,-0.146324786,0.217921147,1998
1,Jordin Tootoo,0.752614838,0.044639465,0,69,0.50310559,0.305590062,0.166666667,0.416666667,0,182,223,6,0,0,0.651162791,0.172839506,0.278447649,0.243268024,0.088888889,0,0.028556911,0,2001
0,Ryan Reaves,0.307403473,-0.134652164,0,74,0.524528302,0.199528302,0.4375,0.4375,0,215,224,9,1,1,0.666666667,0.100719424,0.254478498,0.25507003,0,0,-0.094475893,0.15990991,2005
0,Garth Murray,0.574914112,-0.043347953,0,74,0.55,0.296875,0.159090909,0.636363636,0,205,228,7,0,0,0.583333333,0.159090909,0.308299451,0.349175463,0.595744681,0,-0.063625731,0.38372093,2001
0,Ryley Grantham,0.32568172,-0.115232558,0,76,0.51372549,0.213903743,0.210526316,0.526315789,2,203,248,14,0,0,0.681818182,0.114503817,0.265957707,0.266271692,0.304347826,0,-0.091707317,0.243850267,2008
0,Bryan Bickell,0.652931183,-0.05366242,0,76,0.515463918,0.33548838,0.083333333,0.555555556,0,215,222,7,1,1,0.657894737,0.166666667,0.18382023,0.199086779,0.052631579,0,-0.055805687,0.336110313,2004
0,Matt Kassian,0.106922947,-0.154131684,0,77,0.476793249,0.136488718,0,0.5,0,245,227,15,1,1,0.5,0.044247788,0.299873406,0.230572055,0.222222222,0,-0.160177976,0.082241488,2005
0,Tom Kostopoulos,1.140498243,0.065517241,0,72,0.577287066,0.378548896,0.275862069,0.310344828,2,196,248,2,0,0,0.833333333,0.300546448,0.350584999,0.377918814,0.385714286,0,0.034782609,0.911508704,1999
0,Damian Surma,0.425947355,-0.082200414,0,69,0.650176678,0.227018211,0.25,0.53125,0,200,224,7,1,1,0.588235294,0.108695652,0.326730407,0.350572601,0.263157895,0,-0.08045977,0.28678118,1999
